maxamps,distance,station,frequency
7.875057955883475e-05,115.29413075182984,R0306,"(0.1, 0.25)"
7.780217509801142e-06,659.8401916784711,R2974,"(0.1, 0.25)"
9.728492242798696e-06,739.0744614695077,R34A9,"(0.1, 0.25)"
1.5504004555944254e-05,689.1676771081244,R4DB9,"(0.1, 0.25)"
5.786651190826938e-05,313.7742606488916,RA08A,"(0.1, 0.25)"
330.30378121037666,752.0785335614584,RA9CF,"(0.1, 0.25)"
0.00012655965937050074,115.29413075182984,R0306,"(0.25, 0.5)"
6.306677304437671e-06,659.8401916784711,R2974,"(0.25, 0.5)"
9.47423531854732e-06,739.0744614695077,R34A9,"(0.25, 0.5)"
1.5464076198994844e-05,689.1676771081244,R4DB9,"(0.25, 0.5)"
7.429170387265738e-05,313.7742606488916,RA08A,"(0.25, 0.5)"
435.310663978338,752.0785335614584,RA9CF,"(0.25, 0.5)"
0.00011083445073447048,115.29413075182984,R0306,"(0.5, 0.75)"
3.5139251912379434e-06,659.8401916784711,R2974,"(0.5, 0.75)"
3.924762979015354e-06,739.0744614695077,R34A9,"(0.5, 0.75)"
6.261961484872982e-06,689.1676771081244,R4DB9,"(0.5, 0.75)"
3.277843805177989e-05,313.7742606488916,RA08A,"(0.5, 0.75)"
268.10592786274594,752.0785335614584,RA9CF,"(0.5, 0.75)"
5.628535423603205e-05,115.29413075182984,R0306,"(0.75, 1.0)"
1.5585162989256067e-06,659.8401916784711,R2974,"(0.75, 1.0)"
8.028031290281852e-07,739.0744614695077,R34A9,"(0.75, 1.0)"
3.2814290839798695e-06,689.1676771081244,R4DB9,"(0.75, 1.0)"
3.4421437981562315e-05,313.7742606488916,RA08A,"(0.75, 1.0)"
154.7875514809798,752.0785335614584,RA9CF,"(0.75, 1.0)"
4.214337662565195e-05,115.29413075182984,R0306,"(1.0, 1.25)"
4.4049293893718945e-07,659.8401916784711,R2974,"(1.0, 1.25)"
3.412295799733535e-07,739.0744614695077,R34A9,"(1.0, 1.25)"
1.7477932420574448e-06,689.1676771081244,R4DB9,"(1.0, 1.25)"
9.183056301441816e-06,313.7742606488916,RA08A,"(1.0, 1.25)"
90.38141058815161,752.0785335614584,RA9CF,"(1.0, 1.25)"
